region,educ.per.cap.ave,School.attendance,health.per.cap.ave,Child.mortality,MPI.of.the.region,need.vs.resources,MPI.pop.2016,Country
KABALE,17.0011470142864,0.0597121404424659,9.14302580325405,0.0421450797602385,0.0910189034561632,,657826.782433195,Uganda
KABAROLE,10.4967505039111,0.161865931277385,8.86424707462449,0.0418692566384671,0.111141324784113,,690107.132405062,Uganda
KABERAMAIDO,9.26062696288256,0.165905693051172,3.00799494968844,0.0256938556772332,0.147397799478176,,257706.532718087,Uganda
KALANGALA,10.4400808209804,0.0282970504355138,13.9232076756313,0.062034996532071,0.0569158095496971,,69494.3027205477,Uganda
KALIRO,11.3232224591669,0.0436833437052121,3.15350419449238,0.148962266569825,0.134101200328706,,144598.807657087,Uganda
KALUNGU,16.5188749368589,0.0580537169194403,4.57555168138521,0.0165156731912424,0.0516931174989617,,154396.489889894,Uganda
KAMPALA,5.57935381122071,0.0652624167965719,16.4593065083158,0.0348526252802401,0.00471403016638897,,1629221.47602641,Uganda
KAMULI,11.238176422315,0.0443308640866347,4.01587141799392,0.0516900708830845,0.0485749945939051,,682593.137693048,Uganda
KAMWENGE,8.1950371863919,0.103866079534818,3.01131181496077,0.112406144952051,0.150354702470697,,295523.200785138,Uganda
KANUNGU,14.5216481747294,0.0791395345093461,7.74448784486676,0.0154147861214311,0.0971742133133212,,282253.550687955,Uganda
KAPCHORWA,16.2553014301417,0.0956024827510237,12.0920739206977,0.0546875976539789,0.0908280184655326,,185542.748660341,Uganda
KASESE,11.7570638000585,0.110061599810206,5.19035350729803,0.0584794483455133,0.0965249797539394,,1000168.95021167,Uganda
KATAKWI,11.0555097750786,0.223326279260191,5.82173659799411,0.0904853057450328,0.220208342776307,,159153.002792212,Uganda
KAYUNGA,12.2801652244547,0.110831995274446,4.66548504679455,0.0901984722139851,0.15395587386748,,427036.806925142,Uganda
KIBAALE,8.12551188307592,0.15777642991477,3.24342720512915,0.0829137845154999,0.175963437131225,,765289.340800632,Uganda
KIBOGA,12.9567080776269,0.0238814376602189,8.58566196931936,0.0341163395145984,0.0568990821649752,,180414.986565539,Uganda
KIBUKU,10.498444147056,0.143081685176171,3.2465941490749,0.053424060740031,0.152928349623861,,265447.021532524,Uganda
KIRUHURA,7.66126496357222,0.0837987577054937,3.60703825056106,0.0681588266874198,0.121798142759655,,476997.232506089,Uganda
KIRYANDONGO,7.14524786196279,0.276840096232634,3.41289946218093,0.0688164401226574,0.210441956100867,,487622.735393426,Uganda
KISORO,14.6099377473564,0.130893602082929,7.56366832325544,0.0586718712863898,0.215817707090162,,339591.484732699,Uganda
KITGUM,15.3800438880351,0.131928289338287,8.3762304964159,0.0746051825598698,0.156199252561373,,247520.01949342,Uganda
KOBOKO,9.68825176562306,0.0749938069458747,3.74643068681813,0.0406255605781751,0.2108221655348,,159549.456290585,Uganda
KOLE,11.5250713637154,0.271955142862721,2.6079666889461,0.0352007078495562,0.171553925007074,,274486.236416326,Uganda
KOTIDO,6.30001504730005,0.775068202380362,3.21427200097666,0.118836803246973,0.63159320183843,,231807.919465242,Uganda
KUMI,10.3368153307461,0.07746277868761,4.16794686854988,0.0585877772455156,0.0917935443647331,,294256.218142651,Uganda
KWEEN,13.9699518529396,0.0461616576176831,8.36823328588462,0.00469301011498092,0.115736372664241,,155673.234090059,Uganda
KYANKWANZI,10.3336959716892,0.0366924372896289,3.29635090341192,0.0803599486120569,0.0678609551590321,,128481.067298483,Uganda
KYEGEGWA,4.97549761715522,0.149398020054129,2.22546671979214,0.135280991394427,0.209720684464377,,386462.075392797,Uganda
KYENJOJO,6.13390211651869,0.163046924644802,3.35138312852726,0.0770851718268048,0.225819594794613,,468013.979451126,Uganda
LAMWO,11.9201084338394,0.216284469123385,6.09707808358725,0.0569152599248606,0.222352187757506,,268285.559521402,Uganda
LIRA,10.1052564543473,0.169553551387553,7.09797083731787,0.0308686325001447,0.136456381107561,,423318.240649388,Uganda
LUUKA,12.7355979329134,0.0476294961476268,2.82698809634181,0.0761194261961379,0.0676856691200359,,179435.05072935,Uganda
LUWERO,15.0360001512205,0.0427423088618797,3.91760615607892,0.0738267248182751,0.0690600699396763,,424956.786643062,Uganda
LWENGO,11.8677310655349,0.0729094040798774,2.93733175660109,0.0864368067211541,0.0777783588951844,,277257.167914465,Uganda
LYANTONDE,12.6475074392257,0.0620689655172414,10.6008937083576,0.0758620689655172,0.217413132514203,,132966.695935739,Uganda
MANAFWA,13.4015383521697,0.102399508630136,3.20893898645448,0.0628787530857693,0.140214597645521,,440945.83558525,Uganda
MARACHA,12.6835750628124,0.259389848282343,6.20606582785653,0.0793203611920453,0.244039746163147,,303606.557787292,Uganda
MASAKA,10.8965601339554,0.0251905769955083,9.55423861067816,0.0173621688567904,0.0230406913058645,,424655.617479098,Uganda
MASINDI,9.92019798272494,0.0878050473107844,4.87756689487057,0.0831639441094306,0.102771782492495,,348881.434296793,Uganda
MAYUGE,9.00380330451143,0.0979811921008841,2.52188096749611,0.125158138595112,0.0911408971101308,,524079.906624137,Uganda
MBALE,13.2982580025481,0.0736381493188758,9.49828066570791,0.0558027371069448,0.0789774486373842,,705061.852165743,Uganda
MBARARA,14.8071110586216,0.0696504828898904,7.44522512494975,0.0293776188218561,0.0747907479449564,,650383.177750422,Uganda
