shregion,Child.morality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,weights,share.of.pop,Population.2016,Population.size.by...region
siaya,0.0515879288766832,0.204524925385706,0.0280800752145154,0.0780593115323629,0.0780593115323629,0.574863475981527,0.741855614102311,0.996797112221026,0.248593889143125,0.97631605082911,29714.82817,0.0208221562124131,48461.567,1009.07431837232
kisumu,0.0547249223363637,0.148651435049212,0.0101475075459597,0.0537630727787018,0.0537630727787018,0.430808699437727,0.633156709758636,0.986153152154805,0.129516299670444,0.827249798714182,38659.3307,0.0270898629565502,48461.567,1312.81720868968
migori,0.0969874795004594,0.242086939540748,0.0263493871935991,0.0905061766176796,0.0905061766176796,0.823082931824304,0.763505016771782,0.997158449690716,0.318887679013735,0.98990033539945,34546.49375,0.0242078630015397,48461.567,1173.15097477594
homa bay,0.0783446459035624,0.195084670785157,0.0112859932340831,0.0656239949236148,0.0656239949236148,0.731198417365898,0.769143801473545,0.991992299904695,0.313343477651625,0.9859866316074,43198.64454,0.0302707092778853,48461.567,1466.96600580776
kisii,0.0411997906873399,0.193183031133291,0.00789387793984687,0.0578642141088798,0.0578642141088798,0.515783400550018,0.827225901987198,0.997285353906833,0.29946798800086,0.954388254022136,38033.8602,0.0266515752308818,48461.567,1291.57709870692
nyamira,0.0345344404901875,0.177090369094841,0.010623585091567,0.0453497121968547,0.0453497121968547,0.722036566334381,0.691900867569271,0.969727671737098,0.273167798537912,0.906527098940947,16343.92425,0.0114527246097599,48461.567,555.016981008428
turkana,0.0522428497699472,0.404660952806088,0.346345645977711,0.619084509691824,0.619084509691824,0.775655167580812,0.946795133121852,0.99713560731553,0.846834374219654,0.997292017683974,18948.67987,0.0132779624373022,48461.567,643.470866278804
west pokot,0.0343689865135311,0.494057364927262,0.210683590322191,0.30939426527195,0.30939426527195,0.824501508273953,0.744530439379381,0.997587165286634,0.64188462497247,0.993170697391988,16912.30227,0.0118510057592397,48461.567,574.318309618781
samburu,0.0228242007281752,0.417108248930222,0.336937358922724,0.46543733063718,0.46543733063718,0.69706940659764,0.953496644845912,0.999669888434492,0.64025662661339,0.984280834764825,6560.1458,0.00459690965878487,48461.567,222.77344542215
trans-nzoia,0.0404323675502359,0.278649499357941,0.0443415274954865,0.0422300100792635,0.0422300100792635,0.527041613722976,0.757680934624345,0.99974821283865,0.268375881413905,0.973239490712603,39024.94451,0.0273460605634043,48461.567,1325.23294617948
