shregion,Child.mortality,Nutrition,School.attendance,Years.of.schooling,Electricity,Drinking.water,Sanitation,Housing,Assets,Cooking...fuel,MPI.A,MPI.H,p20,ext,np20,weights,MPI,share.of.pop
siaya,0.0515879288766832,0.204524925385706,0.0280800752145154,0.0780593115323629,0.912385329805526,0.574863475981527,0.741855614102311,0.996797112221026,0.248593889143125,0.97631605082911,0.307492932644073,0.289941551478238,0.688603624861547,0.422778968740037,0.173394097065714,29714.82817,0.0891549779594159,0.0208221562124131
kisumu,0.0547249223363637,0.148651435049212,0.0101475075459597,0.0537630727787018,0.594792075383757,0.430808699437727,0.633156709758636,0.986153152154805,0.129516299670444,0.827249798714182,0.245479572899405,0.183161445534736,0.490617295917128,0.301707968265472,0.124166234207464,38659.3307,0.0449623934215047,0.0270898629565502
migori,0.0969874795004594,0.242086939540748,0.0263493871935991,0.0905061766176796,0.929568508236816,0.823082931824304,0.763505016771782,0.997158449690716,0.318887679013735,0.98990033539945,0.342673899725782,0.371946919893027,0.816330225697651,0.629160066931539,0.309393381781328,34546.49375,0.127456501530737,0.0242078630015397
homa bay,0.0783446459035624,0.195084670785157,0.0112859932340831,0.0656239949236148,0.952729443260647,0.731198417365898,0.769143801473545,0.991992299904695,0.313343477651625,0.9859866316074,0.322531388763758,0.303440042576323,0.789654727671231,0.524141462101533,0.189111377150631,43198.64454,0.0978689383386753,0.0302707092778853
kisii,0.0411997906873399,0.193183031133291,0.00789387793984687,0.0578642141088798,0.752687276796585,0.515783400550018,0.827225901987198,0.997285353906833,0.29946798800086,0.954388254022136,0.291322997053833,0.247303607908314,0.6096683036659,0.377583213076016,0.0883143178824641,38033.8602,0.0720452282380759,0.0266515752308818
nyamira,0.0345344404901875,0.177090369094841,0.010623585091567,0.0453497121968547,0.793439597730099,0.722036566334381,0.691900867569271,0.969727671737098,0.273167798537912,0.906527098940947,0.286902573370734,0.223852435045646,0.665815954206959,0.35283055353123,0.0699869457605936,16343.92425,0.064223839669901,0.0114527246097599
turkana,0.0522428497699472,0.404660952806088,0.346345645977711,0.619084509691824,0.974300492522913,0.775655167580812,0.946795133121852,0.99713560731553,0.846834374219654,0.997292017683974,0.545264989345979,0.80140804931654,0.953790530738435,0.922745927946272,0.865056952909512,18948.67987,0.436979751472366,0.0132779624373022
west pokot,0.0343689865135311,0.494057364927262,0.210683590322191,0.30939426527195,0.967076899932915,0.824501508273953,0.744530439379381,0.997587165286634,0.64188462497247,0.993170697391988,0.461177322378729,0.670594933911593,0.933243618640693,0.844033802264817,0.678046986562049,16912.30227,0.309263176022089,0.0118510057592397
samburu,0.0228242007281752,0.417108248930222,0.336937358922724,0.46543733063718,0.850622255987054,0.69706940659764,0.953496644845912,0.999669888434492,0.64025662661339,0.984280834764825,0.491480046235054,0.681757950492933,0.815282863072952,0.758080651195283,0.710028490525317,6560.1458,0.335070429029383,0.00459690965878487
trans-nzoia,0.0404323675502359,0.278649499357941,0.0443415274954865,0.0422300100792635,0.868675594434561,0.527041613722976,0.757680934624345,0.99974821283865,0.268375881413905,0.973239490712603,0.312103460508709,0.318555814479348,0.651717493499134,0.36951633989652,0.120518383537863,39024.94451,0.0994223720641747,0.0273460605634043
baringo,0.0389630936134179,0.311064948854148,0.0747300301769754,0.155555450080302,0.893659742348941,0.747348436169942,0.636120083486763,1,0.376681327101281,0.97733813168455,0.354446148093353,0.405946407697794,0.748386693659723,0.584648087841491,0.411261182388971,16159.6619,0.143886140540817,0.0113236059282109
uasin gishu,0.0346409696125842,0.252435199190681,0.00591229960476687,0.042875072988264,0.677928698062412,0.363666229596168,0.743806033687978,0.972287371180131,0.195546530943598,0.89780027419709,0.269878478207715,0.225856271680496,0.457129667839796,0.239418055009217,0.0805315808271182,35727.93568,0.0609537468948006,0.0250357381715261
elgeyo marak,0.0130628189087142,0.2404677199816,0.00542876067518831,0.0531282195044916,0.820322450677347,0.480041970768205,0.711089179360847,1,0.325596501991543,0.987123683516314,0.291770243640134,0.256560745616733,0.683792726952881,0.435541057028306,0.242144901036754,12345.11595,0.0748567912570886,0.00865062827557494
